# q[1/nm]	S(q)
1.004299999999999915e-01 1.476246055418666048e+00
1.009499999999999981e-01 1.439214532299227134e+00
1.014700000000000046e-01 1.321016299797989513e+00
1.019899999999999973e-01 1.258233855807263657e+00
1.025200000000000000e-01 1.226674292048181458e+00
1.030400000000000066e-01 1.291024238123465562e+00
1.035600000000000132e-01 1.310588652785712460e+00
1.040800000000000058e-01 1.307750428263432463e+00
1.045999999999999985e-01 1.286787050418011447e+00
1.051300000000000012e-01 1.288278471497649402e+00
1.056499999999999939e-01 1.295617883143550308e+00
1.061700000000000005e-01 1.298565680530893829e+00
1.066899999999999932e-01 1.315795727852613561e+00
1.072099999999999997e-01 1.327015904167914595e+00
1.077299999999999924e-01 1.320200847074787909e+00
1.082600000000000090e-01 1.301880771455353969e+00
1.087800000000000017e-01 1.277972137724789903e+00
1.093000000000000083e-01 1.280030307695075642e+00
1.098200000000000010e-01 1.274731676948089421e+00
1.103400000000000075e-01 1.299144617116966938e+00
1.108699999999999963e-01 1.262782190537670379e+00
1.113899999999999890e-01 1.230082437949133523e+00
1.119099999999999956e-01 1.239265279651886376e+00
1.124300000000000022e-01 1.227831021193003247e+00
1.129499999999999948e-01 1.226088157832854852e+00
1.134699999999999875e-01 1.224862802879422397e+00
1.140000000000000041e-01 1.202666728627003190e+00
1.145200000000000107e-01 1.174394074848849945e+00
1.150400000000000034e-01 1.176882503755407150e+00
1.155599999999999961e-01 1.174849568676565426e+00
1.160800000000000026e-01 1.161195167270329565e+00
1.166099999999999914e-01 1.131475313971921581e+00
1.171299999999999980e-01 1.107988079095493905e+00
1.176499999999999907e-01 1.082848648001291325e+00
1.181699999999999973e-01 1.075426987143158541e+00
1.187000000000000000e-01 1.050190442905631460e+00
1.192200000000000065e-01 1.025447354976252612e+00
1.197399999999999992e-01 1.021503212738272381e+00
1.202600000000000058e-01 9.846823628247387550e-01
1.207799999999999985e-01 9.443560668888251186e-01
1.213000000000000050e-01 9.629788826006320246e-01
1.218199999999999977e-01 9.485328599182687448e-01
1.223499999999999865e-01 9.506346781839248861e-01
1.228699999999999931e-01 9.286932190392073183e-01
1.233899999999999997e-01 9.303532720916379839e-01
1.239099999999999924e-01 9.123848948628570099e-01
1.244299999999999851e-01 9.036948112578364611e-01
1.249499999999999916e-01 8.945022825390922527e-01
1.254800000000000082e-01 9.158520568482342306e-01
1.260000000000000009e-01 8.945361581824973207e-01
1.265199999999999936e-01 8.964476049740998098e-01
1.270399999999999863e-01 1.170101954020902779e+00
1.275600000000000067e-01 8.761896362850090103e-01
1.280899999999999817e-01 8.684666200422989091e-01
1.286100000000000021e-01 8.710058531593332098e-01
1.291300000000000225e-01 8.842207609446560701e-01
1.296500000000000152e-01 8.638769223351971949e-01
1.301700000000000079e-01 9.008054364501787425e-01
1.306900000000000006e-01 8.760385615526097292e-01
1.312200000000000033e-01 8.888868054546390507e-01
1.317399999999999960e-01 8.964161629970518463e-01
1.322599999999999887e-01 8.825872551026765489e-01
1.327800000000000091e-01 9.017665210456972114e-01
1.333000000000000018e-01 9.032260786646751916e-01
1.338199999999999945e-01 9.125005134946388985e-01
1.343399999999999872e-01 9.102312740076823339e-01
1.348700000000000176e-01 9.162857989642477774e-01
1.353900000000000103e-01 9.469221463949055728e-01
1.359100000000000030e-01 9.490897206396837760e-01
1.364299999999999957e-01 9.616682511230287833e-01
1.369500000000000162e-01 9.631096630393888303e-01
1.374799999999999911e-01 9.829193518112995243e-01
1.380000000000000115e-01 1.014069913290069014e+00
1.385200000000000042e-01 1.018586066808109036e+00
1.390399999999999969e-01 1.028484760751697591e+00
1.395599999999999896e-01 1.035243788699188983e+00
1.400899999999999923e-01 1.042039070480081708e+00
1.406100000000000128e-01 1.079368230023251662e+00
1.411300000000000054e-01 1.096110124887103243e+00
1.416499999999999981e-01 1.108621136086211267e+00
1.421700000000000186e-01 1.120553226851116246e+00
1.426999999999999935e-01 1.126538904724361689e+00
1.432199999999999862e-01 1.159208448361080723e+00
1.437400000000000067e-01 1.150102289975582170e+00
1.442599999999999993e-01 1.157783025918507569e+00
1.447799999999999920e-01 1.166199242175612438e+00
1.453099999999999947e-01 1.188646053847759232e+00
1.458300000000000152e-01 1.187099084046901565e+00
1.463500000000000079e-01 1.250343809045466381e+00
1.468700000000000006e-01 1.223955052404864130e+00
1.473899999999999932e-01 1.212909778016189044e+00
1.479199999999999959e-01 1.207912177197843606e+00
1.484399999999999886e-01 1.239960912449995289e+00
1.489599999999999813e-01 1.236918613604025774e+00
1.494800000000000018e-01 1.215231129024232359e+00
1.499999999999999944e-01 1.228278984937580587e+00
1.505299999999999971e-01 1.219384474339302971e+00
1.510500000000000176e-01 1.224785116927365580e+00
1.515700000000000103e-01 1.203319298291566364e+00
1.520900000000000030e-01 1.197651598310214949e+00
1.526099999999999957e-01 1.206961305777741522e+00
1.531399999999999983e-01 1.215360335214781484e+00
1.536599999999999910e-01 1.203630179822496205e+00
1.541799999999999837e-01 1.195432309524151027e+00
1.547000000000000042e-01 1.196260004104247709e+00
1.552199999999999969e-01 1.193790952573733133e+00
1.557499999999999996e-01 1.180086909121619065e+00
1.562699999999999922e-01 1.161865407319952803e+00
1.567899999999999849e-01 1.152458923695817150e+00
1.573099999999999776e-01 1.145595618439068986e+00
1.578299999999999703e-01 1.140928716487192185e+00
1.583600000000000008e-01 1.142313299142897254e+00
1.588799999999999935e-01 1.131838995167683048e+00
1.593999999999999861e-01 1.110900636679969855e+00
1.599200000000000066e-01 1.102550670096192897e+00
1.604500000000000093e-01 1.101709836158523359e+00
1.609700000000000020e-01 1.086350731466047659e+00
1.614899999999999947e-01 1.076988855728589378e+00
1.620099999999999874e-01 1.051985171630559046e+00
1.625300000000000078e-01 1.040587918630273112e+00
1.630500000000000005e-01 1.046502969154830875e+00
1.635699999999999932e-01 1.045583225079045775e+00
1.641000000000000236e-01 1.069774863199007386e+00
1.646200000000000163e-01 1.005405883268811085e+00
1.651400000000000090e-01 1.007590138024920590e+00
1.656600000000000017e-01 9.880325521407312683e-01
1.661899999999999766e-01 9.844867854221842629e-01
1.667099999999999693e-01 9.830629785616635807e-01
1.672299999999999898e-01 9.606758373205741552e-01
1.677500000000000102e-01 9.771740978502910790e-01
1.682700000000000307e-01 9.608518071360681034e-01
1.687900000000000234e-01 9.313801202605467289e-01
1.693100000000000160e-01 9.130274027787229629e-01
1.698399999999999910e-01 7.648757041274530932e-01
1.703599999999999837e-01 6.924531274617928833e-01
1.708700000000000219e-01 6.329828458444958228e-01
1.713900000000000146e-01 7.348388653941002602e-01
1.719199999999999895e-01 7.584228351940203172e-01
1.724399999999999822e-01 8.030781417226823260e-01
1.729600000000000026e-01 8.352245587331190713e-01
1.734799999999999953e-01 8.570845998982841163e-01
1.739999999999999880e-01 8.251432711152476562e-01
1.745199999999999807e-01 8.817554487132360785e-01
1.750399999999999734e-01 8.496258448161704280e-01
1.755700000000000038e-01 8.454959844819739390e-01
1.760899999999999965e-01 8.615259509764691126e-01
1.766099999999999892e-01 8.505888138448417513e-01
1.771400000000000197e-01 8.754331208506360706e-01
1.776600000000000124e-01 8.530651356336197422e-01
1.781800000000000050e-01 8.334968695142571660e-01
1.786999999999999977e-01 8.737984764262223258e-01
1.792199999999999904e-01 8.718628663152643288e-01
1.797500000000000209e-01 8.970184034416824881e-01
1.802700000000000136e-01 8.932961030424353410e-01
1.807900000000000063e-01 8.786169970380497407e-01
1.813100000000000267e-01 9.030995485516596366e-01
1.818400000000000016e-01 9.056692226036070492e-01
1.823599999999999943e-01 9.010621072722982960e-01
1.828799999999999870e-01 9.199499020692042395e-01
1.833999999999999797e-01 9.630985371224691782e-01
1.839199999999999724e-01 9.417864452110038531e-01
1.844500000000000028e-01 9.766602376980816347e-01
1.849699999999999955e-01 9.678136380436438424e-01
1.854899999999999882e-01 9.806056847968963597e-01
1.860100000000000087e-01 9.931832150639771095e-01
1.865300000000000014e-01 1.001220847545089443e+00
1.870600000000000041e-01 1.020600372238771758e+00
1.875799999999999967e-01 1.052988878419385044e+00
1.880999999999999894e-01 1.013158991609824922e+00
1.886200000000000099e-01 1.025851756032562623e+00
1.891500000000000126e-01 1.063002192702089177e+00
1.896700000000000053e-01 1.068434383334051496e+00
1.901900000000000257e-01 1.044996969300799883e+00
1.907100000000000184e-01 1.067115647093827668e+00
1.912300000000000111e-01 1.100011501240490963e+00
1.917500000000000038e-01 1.117630443714050958e+00
1.922799999999999787e-01 1.108457637474068447e+00
1.927999999999999714e-01 1.124333728161089674e+00
1.933199999999999918e-01 1.126046681052767395e+00
1.938399999999999845e-01 1.104549707898131006e+00
1.943599999999999772e-01 1.152912482131835281e+00
1.948799999999999977e-01 1.161856770976553266e+00
1.954100000000000004e-01 1.179479721125392677e+00
1.959299999999999931e-01 1.171960017503224760e+00
1.964499999999999857e-01 1.175323200979751181e+00
1.969699999999999784e-01 1.164079822616407967e+00
1.975000000000000089e-01 1.178523706400036897e+00
1.980200000000000016e-01 1.213057489758740726e+00
1.985399999999999943e-01 1.186018057841741857e+00
1.990600000000000147e-01 1.179764793727832828e+00
1.995800000000000074e-01 1.164001107845990646e+00
2.001000000000000001e-01 1.197030343986729806e+00
2.006300000000000028e-01 1.190581048782577867e+00
2.011499999999999955e-01 1.185058505850584920e+00
2.016700000000000159e-01 1.178868286445012847e+00
2.021900000000000086e-01 1.194296139952700120e+00
2.027100000000000013e-01 1.182426170192257819e+00
2.032399999999999762e-01 1.173857075011872864e+00
2.037599999999999967e-01 1.178357484011980816e+00
2.042800000000000171e-01 1.188374643224989757e+00
2.048000000000000098e-01 1.191740589164035136e+00
2.053200000000000025e-01 1.188544775038386847e+00
2.058499999999999774e-01 1.196538018448576768e+00
2.063699999999999979e-01 1.205140594080906347e+00
2.074099999999999833e-01 1.152138674504173066e+00
2.079300000000000037e-01 1.177058872203406104e+00
2.084499999999999964e-01 1.138360505273185996e+00
2.089799999999999991e-01 1.132111470347243021e+00
2.094999999999999918e-01 1.206967225467324933e+00
2.100199999999999845e-01 1.145696666533520425e+00
2.105400000000000049e-01 1.158886441193152317e+00
2.110599999999999976e-01 1.145515290055469260e+00
2.115799999999999903e-01 1.118090452261306433e+00
2.121000000000000107e-01 1.109380725540490831e+00
2.126200000000000034e-01 1.127476161155014589e+00
2.131399999999999961e-01 1.093838503532322370e+00
2.136599999999999888e-01 1.075204868557469551e+00
2.141899999999999915e-01 1.105793304643787556e+00
2.147100000000000120e-01 1.088060996684640402e+00
2.152300000000000046e-01 1.086190232531695887e+00
2.157499999999999973e-01 1.086194339198685910e+00
2.162700000000000178e-01 1.036918824521734006e+00
2.167900000000000105e-01 1.046274001982882451e+00
2.173200000000000132e-01 1.005944135464262645e+00
2.178400000000000059e-01 1.029936160414386848e+00
2.183599999999999985e-01 1.004116931203231422e+00
2.188800000000000190e-01 1.022512459185427103e+00
2.194099999999999939e-01 1.029289380519030628e+00
2.199299999999999866e-01 9.989717412460291657e-01
2.204499999999999793e-01 9.783880828991287082e-01
2.209699999999999998e-01 9.520162252445716344e-01
2.214899999999999924e-01 9.218907262711080186e-01
2.220199999999999951e-01 9.454060262795693781e-01
2.230599999999999805e-01 9.485196913333537871e-01
2.235800000000000010e-01 9.410246930295045331e-01
2.240999999999999936e-01 9.291187232962476727e-01
2.246299999999999963e-01 9.435802363142701266e-01
2.251500000000000168e-01 8.919515964045530154e-01
2.256700000000000095e-01 8.881704069988588524e-01
2.261900000000000022e-01 9.095791876161404277e-01
2.267099999999999949e-01 8.917896757077135028e-01
2.272399999999999975e-01 8.857132261487725700e-01
2.277600000000000180e-01 9.005346915728459356e-01
2.282800000000000107e-01 9.059803716365495418e-01
2.288099999999999856e-01 8.926027541813960076e-01
2.293299999999999783e-01 8.661053390115829309e-01
2.298499999999999988e-01 8.950127253698680896e-01
2.303699999999999914e-01 8.800143587902717890e-01
2.308899999999999841e-01 9.096773611461980158e-01
2.314099999999999768e-01 9.019296199379958079e-01
2.319399999999999795e-01 9.053740798951398494e-01
2.324600000000000000e-01 9.120292555782907318e-01
2.329799999999999927e-01 9.245132051501308013e-01
2.334999999999999853e-01 9.413922329859283344e-01
2.340300000000000158e-01 9.200741213430199128e-01
2.345500000000000085e-01 8.947394299973570053e-01
2.350700000000000012e-01 9.425102011927546375e-01
2.355899999999999939e-01 9.372458660883706827e-01
2.361099999999999866e-01 1.163352754400567290e+00
2.366400000000000170e-01 9.792606118181201857e-01
2.371600000000000097e-01 9.931745669305915847e-01
2.376800000000000024e-01 9.858463779566439822e-01
2.381900000000000128e-01 9.739774656582804724e-01
2.392400000000000082e-01 9.377585802324290842e-01
2.397600000000000009e-01 9.618330039525689878e-01
2.402799999999999936e-01 9.827379591937587255e-01
2.408000000000000140e-01 1.011335059285850768e+00
2.413300000000000167e-01 1.035059901338970967e+00
2.418500000000000094e-01 1.015513370075525446e+00
2.423700000000000299e-01 1.040121699082614093e+00
2.428900000000000226e-01 1.067226005539685385e+00
2.434199999999999975e-01 1.073919085759664327e+00
2.439399999999999902e-01 1.088706420365227023e+00
2.444599999999999829e-01 1.052789638131278460e+00
2.449799999999999756e-01 1.041781009879253705e+00
2.454999999999999960e-01 1.089771242442997945e+00
2.460199999999999887e-01 1.136959165506952196e+00
2.465399999999999814e-01 1.114765024711075192e+00
2.470700000000000118e-01 1.089770282462349860e+00
2.475900000000000045e-01 1.105868494052972384e+00
2.481099999999999972e-01 1.071803301622831439e+00
2.486299999999999899e-01 1.188997904849506737e+00
2.491599999999999926e-01 1.056604742524810181e+00
2.496800000000000130e-01 1.040159528127157840e+00
2.501900000000000235e-01 1.202587297776104958e+00
2.507199999999999984e-01 1.093615340419419546e+00
2.512400000000000189e-01 1.157195053031398135e+00
2.517599999999999838e-01 1.171312131577032289e+00
2.522800000000000042e-01 1.121369833802028371e+00
2.528100000000000347e-01 1.065692376904430860e+00
2.533299999999999996e-01 1.088246042649377632e+00
2.538500000000000201e-01 1.163096586644101871e+00
2.543699999999999850e-01 1.146982088031610836e+00
2.549000000000000155e-01 1.088015865848829922e+00
2.554199999999999804e-01 1.202766188689829097e+00
2.559400000000000008e-01 1.213324837156612768e+00
2.564599999999999658e-01 1.142764174151839507e+00
2.569799999999999862e-01 1.108220979465614375e+00
2.575000000000000067e-01 1.099382305911901669e+00
2.580199999999999716e-01 1.094127111826226795e+00
2.585399999999999920e-01 1.144797731004627339e+00
2.590599999999999570e-01 1.225698560222270750e+00
2.595799999999999774e-01 1.087307709934159261e+00
2.601100000000000079e-01 1.150161164403150638e+00
2.606199999999999628e-01 1.095548028256056572e+00
2.611399999999999832e-01 1.083791230542667572e+00
2.616100000000000092e-01 8.510565889672734308e-01
