# q[1/nm]	S(q)
2.465399999999999814e-01 1.027148669519817759e+00
2.470700000000000118e-01 1.108843055564499025e+00
2.475900000000000045e-01 1.108710672264924257e+00
2.481099999999999972e-01 1.152366172644356146e+00
2.486299999999999899e-01 1.173919090419151212e+00
2.491599999999999926e-01 1.166545583724123203e+00
2.496800000000000130e-01 1.129578415135984892e+00
2.501900000000000235e-01 1.151468901067281614e+00
2.507199999999999984e-01 1.216915390470211022e+00
2.512400000000000189e-01 1.122514527929842520e+00
2.517599999999999838e-01 1.145642096007358557e+00
2.522800000000000042e-01 1.136726029529787629e+00
2.528100000000000347e-01 1.124433956732859841e+00
2.533299999999999996e-01 1.079738235043564920e+00
2.538500000000000201e-01 1.175406311859926278e+00
2.543699999999999850e-01 1.143107397293638750e+00
2.549000000000000155e-01 1.164372608687774813e+00
2.554199999999999804e-01 1.157279113871207521e+00
2.559400000000000008e-01 1.153049426727045024e+00
2.564599999999999658e-01 1.245758533214821107e+00
2.569799999999999862e-01 1.172432553787360998e+00
2.575000000000000067e-01 1.173507365367084221e+00
2.580199999999999716e-01 1.184265481703688394e+00
2.585399999999999920e-01 1.113114282328644178e+00
2.590599999999999570e-01 1.131614749263042174e+00
2.595799999999999774e-01 1.119711319417857620e+00
2.601100000000000079e-01 1.056611183038120849e+00
2.606199999999999628e-01 1.283758428795364281e+00
2.611399999999999832e-01 1.474831964688791075e+00
2.616100000000000092e-01 1.521465328661028682e+00
